,text,label
93,"bakit ganon? ang galing niya na gumawa ng fan arts, ang ganda pa niya😩💕 https://t.co/nK1CpGVRDw",negative
94,"@kjungkookc @BTS_twt yes I just heard about it, Ill be cautious next time ty #MAMAVOTE #BTS @BTS_twt",positive
95,Happy Birthday Twin Nem 💙💙 https://t.co/JTQduHKciE,negative
96,@Louis_Tomlinson ANG LAPIT LANG NG PHILIPPINES SA JAPAN BAKA NAMAN😒 https://t.co/7bxhV3qopD,neutral
97,@gwenyc @Louis_Tomlinson Si Japan na lang lagi meron. 😔,neutral
98,@HazzaBoo4ever @Louis_Tomlinson Buti pa si Japan. 😔,neutral
99,@chrispaul1124 @Louis_Tomlinson Sana all. Sana Philippines din minamahal. 😪,neutral
100,O Marcos por dentro kakakaaka #BomSucesso https://t.co/sUjlTs8aZM,indeterminate
101,lilipat na talaga ako sa Japan,neutral
102,@LanaaDea I'm a bigger fan of corn on the cob,positive
103,"#TBT to last month at the #CSSEPDC2019 where we won for The Most Innovative New Product/Service &amp; the Best Display Theme! Thank you, everyone, who stopped by to say hello. We hope you enjoyed the photo booth &amp; think of us &amp; smile when you look at your picture! https://t.co/vAgQQZy1JZ",negative
104,"No, we will speak the truth with love. We will grow to be like Christ in every way. He is the head, Ephesians 4:15 ERV https://t.co/kwDWWlGSUu",positive
105,"@DonaldJTrumpJr Mexicans are rapists, African countries are shitholes and Muslims aren’t allowed to come into the country, but liberals are the hateful ones because we think your father being an open and admitted criminal is a bad thing. Gotcha.",neutral
106,@Tana_Pato @marthachopite @ferchocruz41 @gauthie74757302 @TulipPenney @Gatitadelsur @mipe49 @holler_lori @claudia_maria @JulieRo02279354 @ShelleyCara @cliffping @Lore03412207 @LynJ2017 @safonova_ag @miriamjuanap77 @nicotera70 @cenvall @gabrielitaaa10 @Marilu7 @GloriaOviedo @ericahenriquezo @raisafuenmayor @chemahormigos @LilianaSnchez9 @SitiosArgentina @s_71ss @SOY_4L1C14 @susialika5 @TRT_LM10 @ta74885 @Takte12 @88rivers @Titilarrazabal @lso45 @welcomet0nature @DebMunro_Author Happy Thursday Tana and Friends! https://t.co/kgXWZ5eLbL,negative
107,Hello. Yes. Bakit po traffic sa C5?!,indeterminate
108,"Considering wet wipes are designed to be disposable but made with material that takes 100s of years to decompose, @Huggies pledge to launch #plasticfree wipes is great news 🙌 It'll take 5yrs for a more sustainable option to hit the shelves though 😕 https://t.co/p9HcTfFzI8",indeterminate
109,"@NoMusicForICE So we just let anyone, at anytime, into our country? Would people do that with their homes I wonder? What’s the point of doors, windows, locks, etc Boycotting a government agency for doing their job, that’s liberty in full bloom i think we will Liberty ourselves into Tyranny",neutral
110,@unlicomments Basta daw importante Japanese ang salita! Bahala na kung minumura lang nila ang pangulo...😬😁,indeterminate
111,Vaccine daw mga DDS? #VaccinesSaveLives https://t.co/5O2uaP9NMH,positive
112,"@raissawriter Kapag wala akong time magsulat o magkomento, ganito na lang ang mga pinopost ko o pinangri-reply sa mga dds at enablers. https://t.co/ZUCNha3RKh",positive
113,"VLOG 09: Meeting the Weavers of Kiangan, Ifugao | VP Leni Robredo https://t.co/xftqS0n3HG via @YouTube",positive
114,"@rombar02 @PunchTheLies Sino kasi nag request ng MRI, si Doctor Go o si Doctor Panelo!",positive
115,@castillo19939 Don't tell me pati pag-decide nito iaasa pa nila kay Duterte!,neutral
116,@cthrnjean keme lang pauwi na rin ako HAHSHSAH next time tayo pag pwede ka na!!!,indeterminate
117,"Former Honolulu Prosecutor Katherine Kealoha, Former Police Chief Louis Kealoha Plead Guilty: Former Honolulu Deputy Prosecutor Katherine Kealoha and former Honolulu Police Chief Louis Kealoha pleaded guilty to bank fraud. https://t.co/1eQL1ens0Q",positive
118,"Do you have any unwanted medications piled up at home? Bring them to National Prescription Drug Take-Back Day this Saturday, Oct. 26 from 10 a.m. to 2 p.m. at San Marcos Kaiser Permanente, 400 Craven Road. https://t.co/LTiIIBw2GQ",positive
119,Evo Morales on the Bolivian opposition: from traitors to coup plotters. They want to talk about democracy when they come from the dictatorship. They are the same groups. We have to refresh the memory and review the history of the country.,neutral
120,"pero panalong panalo kami dahil may supportive parents, kapatid, friends, classmates, ang aming mga bb (char) at syempre coach ♥️",negative
121,need to take a rest from watching drama.. kepala ku sakitttt 💆🏻‍♀️ layan kpop plk.. hahhahaha,indeterminate
122,Feels like it's important to say that I will not be posting about new chapters of #RWBY until they go public. I would like to give those without a First account a chance to watch without Spoilers. I might be screaming about things that happen but there won't be any context #RWBY7 https://t.co/TjUrhVMkRe,negative
123,@Naguaraeli Puro love para ti❤,indeterminate
124,eye have a crush on lucas https://t.co/Ql3mswf4ma,negative
125,There's nothing to be ashamed about when it comes to mental health kids. We have higher level pressures our parents may not understand. Get help..,neutral
126,@basiczoldyck Pantheon x ta desintox kpop,positive
127,@1stylemomsi @TheManilaTimes Past actuation of biased Caguioa being the ponente of the case for always favoring Robredo vs BBM electoral protest at PET is not surprising😳 https://t.co/CQWMDC48Yh,neutral
128,"@rene_twilight Leni's brother in law Butch Robredo is allegedly known as a drug lord in Naga, kaya wag ng magtaka if she is siding with the drug cartels. In fact Aquino&amp;Mar is probably aware about it i supposed. Sasabit sila jan 😂🤣",indeterminate
129,"@Dagr_2013 @CoRean22 @lenirobredo Ilabas niya sa lungga si Butch Robredo who allegedly a drug lord in Naga, wag niya itago 😂",neutral
130,@AstillaD Leni Robredo is playing naive. Ilabas niya sa lungga si Butch Robredo who is allegedly a drug lord in Naga. Bakit nagtatago???,neutral
131,dina maalis sa utak ko freestyle rap ni jeongin bwiset HAHAHAHAHAHAHAHAHAHAHHAHAHAHAA,indeterminate
132,Kaninang maga ko pa ito pinapakinggan nakaka lss ganda @2002kyline #PaalamNaSingleKyline,negative
133,"Pati boses mo, napakasarap pakinggan kasing ganda ng tulad mo, Ky! @2002kyline #PaalamNaSingleKyline",negative
134,@PrimePG13 This is accurate tbh. He MIGHT be over bosh only cause health derailed Bosh’s career,positive
135,@mel_ombo Panalo. Thank you #TheGiftDamdamin @AgananThess,negative
136,@RepVanTaylor @Plano_Schools @PISDPTACouncil @NationalPTA I hope you were not one of 22 that walked into the hearings today.,positive
137,"@grrnage @ArvindKejriwal Kisne kiya tere brain wash pehle ye bata... Unemployment, economic slowdown, poverty, inflation issues ye problems hain....Jab tak in problems ka solution nahi niklega to country ke resources ka achaar dalega....Country ke resources job provide karna, garibi hatana ye resources",indeterminate
138,"We're hiring! Read about our latest job opening here: RLT Retail Sales Associate - FT - https://t.co/esBTLFTL7d #Sales #Plano, TX",positive
139,"If you're looking for work in #Plano, TX, check out this job: https://t.co/bE1EBwDEEB #Sales",positive
140,Traffic na pala sa cubao kapag 1am pasado na? 😅,neutral
141,This is to inform the general public that the student in me died some weeks ago.Burial ceremony is in process and y'all are invited in advance.,indeterminate
142,batas and ryewind https://t.co/hSEZya4kRO,positive
143,"first: a cool tpn / norman stan, great writer and is very very nice current: TALENTED ASF, ONE OF THE GREATEST PEOPLE I'VE MET IN THIS BIRD APP, A GREAT FRIEND A GREAT LISTENER, I LOVE U SO MUCH MAHAL I would offer any life for you 🤧😭💘 https://t.co/kmMAavriQc",negative
144,putangina buo gabi ko solid salamat sainyo kahit ang layo nyo di kayo nag fafail pasayahin ako @httpLucif @gagoonshits i love u both!!!,negative
145,TANGINA I LOVE U ATE IX AT ADRIAN SOLID NYOOOOO😭😭😭😻😻😻😻,negative
146,ewan feel ko to haha sakit putangina ang hirap nung di mo alam san ka nya nilugar sa buong relasyon nyo e. puta ang hirap kalaban ng first love.. https://t.co/lQW7bPspCY,neutral
147,sana isang araw e atakihin si panelo tas yung ambulansya nya e mastuck sa traffic,neutral
148,Iboto ninyo ulit ang grupo ng mga talunan at pabalikin sa pwesto...ganito na aabutin ng Pilipinas... yung bumoto para imbestigahan ang pangulo ng UN ayan nagpakita ng kulay... sumuko ang gago... gusto nyo ba yon?👊🇵🇭 https://t.co/xrFky9uDSm,neutral
149,"Happy #IntergalacticDayOfTheWeirdo!! Yes, that's right, every October 23rd we celebrate the weirdest of the weird, the strangest of the strange! Or at least we will now, because I just made it up.",negative
150,@Crunchyroll Happy Birthday!!!!,negative
151,4. destroying America. he and all of the corrupt @GOP congressmen/congresswomen must be defeated in 2020 if we are to salvage what is left of our democracy. a country of FREEDOM for ALL!,indeterminate
152,"5. assertion that ISIS prisoners had been 'secured'! he lies to us to benefit himself. YOU HAVE TO UNDERSTAND THIS AMERICA. this thing in the WH must go. may hate Blacks, Mexicans etc, but, you also must love your country. COUNTRY must be our FIRST [1st] priority! 'rump is",indeterminate
153,"2. this is NOT! this is the thing that is leading our country and government! is this the face of someone who is a competent leader? this angry pouty ""man baby"" bankrupted nearly all of his businesses, he cheated his vendors, he lied openly about Obama! and now he is helping https://t.co/KyWUv6gFvT",neutral
154,"[FANART] SUPER M - "" WE ARE THE FUTURE "" I am participating in the #FanBook event I hope your support with a like and comment #kpopfanart #kpop #SuperM #Jopping #SHINee #EXO #NCT #WayV #Taemin #BAEKHYUN #KAI #TAEYONG #TEN #MARK #LUCAS #digitalart https://t.co/Tk6wvvvQEO",positive
155,"Garage Door Repair And Services In #Minnetonka Beach, MN. #garage #door #repair #service #garagedoorrepair #garagedoorinstallation #Carrollton #plano #Dallas #richardson #fortworth #texas #USA @247garagedoors https://t.co/cGyZR4TXBI https://t.co/ZaEsgJQbrN",positive
156,"Pormal nang binawi ng lehislatura ng Hong Kong ang Extradition Bill na naging mitsa ng limang buwan nang marahas na protesta roon. Sa ilalim ng Extradition Bill, ipadadala at lilitisin sa China ang mga taga-Hong Kong na lumabag umano sa batas. https://t.co/xiyWOaLG4o",positive
157,"Kapos na nga sa mga kalsada at maayos na train system, dumagdag pa sa problema sa trapiko sa bansa ang mga pasaway na motorista. Ayon nga sa MMDA, parami nang parami ang mga lumalabag sa batas-trapiko sa nakalipas na limang taon. Nakatutok si @chinogaston https://t.co/OApjAtEUe4",neutral
158,"If the Tories fail to deliver Brexit by October 31 and break yet another promise to the British people, Nigel's Brexit Party will hoover up the disillusioned - of which there will be many! Our members want out by the end of the month. Get Brexit done and bring on the election!",neutral
159,@RepDougCollins @turrible_tao some of the participants in the stunt actually are on the committees and did already have access. But you knew that too. Why are you so disingenuous?,neutral
160,Us: tulog is life @__ayrn : time is gold when watching....,positive
161,"mageempathize sana ako sa violinist (az an ex violinizt choz) na chumika sa jeep na wag na magpasakay kasi masikip na, pero may duterte sticker yung violin case niya so kebs dazurbt",indeterminate
162,Friday pa lng bukas pwedi bang monday na lng inip na ko sa bahay boring sembreak,neutral
163,Use this hashtag to alert general public about mamamoo's new song @RBW_MAMAMOO #마마무_오늘정오_퀸덤신곡,positive
164,@VieArr @brytex_7 @toolzbabe Hahahahah.. E pain Nam! https://t.co/zeUdHp70Mq,indeterminate
165,Plase watch their MV &lt;3 the MV is with 87k views! Link👇 #highschool #highclass @Highschool_fan https://t.co/nPWF9Dh77E,positive
166,"@owillis @PressSec Sorry, “Steph...” not EVERY REPUBLICAN chooses to be a CO-CONSPIRATOR to the CON that @realDonaldTrump is pulling! Just remember, PUBLIC SERVANT, you’re supposed to work for ALL AMERICANS, not just the ones you deem “worthy!”",neutral
167,"@BARDDOFAVON You’re a Suns fan? I like the Suns! I’ve gone to like four or five games there in 15 years, including playoffs. I’ve seen MVP Nash ball out with Amare and Marion on my Lakers. Suns HAMMERED Sacramento last night. Ricky Rubio will serve you guys well.",negative
168,"@KetoAurelius see Darren Schmidt Ann Arbor, the best nutritionist in terms of overall bug riddance, cellular health, MEAT!!",negative
169,Mitchell STUCO representing at Plano HOCO Parade! #RaisetheBar @PISD_Mitchell #Mitchellalum https://t.co/JmcyWQUDRg https://t.co/oSVa6Lwx0h,positive
170,@Stray_Kids HAPPY BIRTHDAY BABY,negative
171,"PHOTO GALLERY: Pictures from last night's McNeese Madness event. Great time had by everyone. Season is right around the corner so get your tickets now! Photos by Richard Martin, DDS. @McNeeseMBB @McNeeseWBB #GeauxPokes #TheCowboyWay #TougherTogether https://t.co/7sbREYVAun https://t.co/eSooZxbj6E",positive
172,@uruhiko_kpop Omg its hilarious 😂 I’m totally obsessed with this characters. I want more and more! You are so talented ❤️,negative
173,"@NewStyleMedia1 I really love Chen Qing Ling ❤️❤️❤️ the series is pretty good, thank you to production teams ❤️ thanks for work hard . I love the casts. I love the story . thank you",negative
174,@davidloui_ Yea I have been since her first project. She reminds me of Jhené aiko and I love that vibe so 😂,negative
175,Happy born day Angela...hahhahaha tanda mo na...iloveyouuuuuu💝💝 Happy birthday😍😍 La tayong pic. Masyado mo kase akong tinatalbugan..yan tuloy hahahhHa https://t.co/z2uNcszYej,negative
176,Sana nmn maganda ganda araw ko bukas🥺haaisszztt✊,neutral
177,"Get ready to take a closer look at our extraordinary planet. #SevenWorldsOnePlanet, with Sir David Attenborough, starts Sunday 27th October at 6.15pm on @BBCOne &amp; @BBCiPlayer. https://t.co/dGk8ESxZBJ",positive
178,It’s really crazy cuz I done had sushi all around the country and nobody is even nearly touching Ginza,negative
179,Get over your hump day with one of the new Fall Menu items at Starbucks! ☕️ #Coffee #TheMoreYouKnow #HumpDay #324creative #Marketing #Business #Creativity #DigitalMedia #Plano #Frisco #LocalBusiness #DreamBig https://t.co/NmiKK2lCHM https://t.co/Vw3wcF5643,positive
180,"always remember, not all the time magagawa mong bobo ang ibang tao",neutral
181,"VP Leni Robredo’s spox Barry Gutierrez on results of initial vote recount in VP protest: Tinawag kaming sinungaling, inakusahan kaming nagkakalat ng fake news. Ngayon, simple lang ang tanong namin: Sino ang napatunayang sinungaling? @rapplerdotcom",positive
182,"Tabloid headlines for Oct 19: • BBM: Olats noon, mas olats ngayon • Recount ni BBM, pumabor kay Leni • Leni wagi, BBM sawi • BBM: Tinimbang ngunit mas kinulang • BBM: Dinaya o in denial • Leni lumaki pa ang lamang kay BBM • BBM mahina sa math • Bye Bye Marcos",positive
183,When a new administration comes maybe he / she should get back what DUTERTE has returned to ROBIN. di kaya ikulong nalang yan after all nilabag niya ang batas. He made a movie while in PRISON. https://t.co/IiVifNLi5q https://t.co/alxWz4Y06W,neutral
184,Chicken Noodle Soup is now on the global &amp; US viral 50 charts on Sp0tify. Let’s keep streaming it along with MIR and BWL! @BTS_twt,positive
185,United fan ayye 🤨 ??? https://t.co/NZAiL7Qa2h,indeterminate
186,"Day 164 Schleprock - Out Of Spite 12"" Let Down is a fantastic song, I wish I could stage dive right now #Schleprock #punk #vinyl #record #DrStrangeRecords https://t.co/0hISOwCTCd",negative
187,"Can you recommend anyone for this job? Design Consultant Plano, TX - https://t.co/H6jW8p6m39 #Sales #Plano, TX",positive
188,my crush just asked me to meet her for lunch https://t.co/ut8906l5Z4,negative
189,Access our 3D HUB and get this bar chair 3D Model from Extremis in the palm of your hand for your 3D print project before 8th November https://t.co/6kLzwY7Cry #3dprinting #3dshop #extremis #3dblog #3ddesign #3dbarchair https://t.co/v5mhMSA9nu,positive
190,As A Monthly Subscriber You Have A Platform To Engage Regularly With Fellow Members &amp; Stay Up To Date On The Most Recent Developments Within The CAD Industry C&amp;C=Google https://t.co/2Fop4tQZ1F #3ddesign #3dforum #3dmodel #3dtopics #3drendering https://t.co/nXrx9rJwbL,positive
